"No","大分類","誰が","画面","チェック内容（操作）","期待結果","種別","優先度","出典","結果（OK/NG/対象外）","メモ"
"179","経営確認","経営層","/bi","右上の決算書。権限の無い人は入れない","/financials。経営層向け","権限","必須","シート1 79","",""
"180","経営確認","経営層","/financials","損益1枚を1から作り段階利益が自動。確定→BI。ドラフトに戻す","BSタブは無い。確定後は編集不可","画面","推奨","シート1 85-93","",""
"181","経営確認","経営層","/bi","昨対比（月次累計）","年度合計と月次","画面","推奨","シート1 47,48","",""
"182","経営確認","管理者","/bi","予備費率を設定し、社員で見る。reserve_feeで決算戻し","利益から控除して表示。社員にもバナーが見える","入力が渡る","推奨","仕様＋シート1 51","",""
"183","経営確認","経営層","/bi","粗利が1本か。予算書の4区分か","工事粗利と会計上の売上総利益が併記。A/B/Cのまま。一本化・4区分は未了","現状どおりでOK","必須","シート1 76,81","",""
"184","経営確認","経営層","/budget","年度予算を入れる","BI期首とは別。ナビには出ない","画面","推奨","仕様","",""
"185","連携","管理者","PDF編集","PDFを取り込み自動項目を置いて保存。契約の書類作成で選ぶ","選べる。乙bindingは無い","画面","推奨","仕様＋シート1 30","",""
"186","連携","管理者","アプリ連携","Slack等をテスト送信","届く（使う会社だけ）","画面","推奨","仕様","",""
"187","連携","管理者","API/Webhook","キー発行（生キーは一度だけ）。Webhook登録。ログを見る","発行時以外は生キーが見えない","画面","推奨","仕様","",""
"188","連携","加盟店管理者","会社情報","AI設定を変えようとする","加盟店からは変えられない。運営の /admin のみ","権限","必須","仕様","",""
"189","運営","super-admin","/admin/login","運営でログイン","企業一覧・全国BI・AI設定","画面","必須","仕様","",""
"190","運営","super-admin","/admin","企業を追加（社名・slug）。加盟店URLでログインできるか","slugのサブドメインで入れる（本番はNetlify alias）","一連の流れ","必須","仕様","","本番公開の会社追加"
"191","運営","super-admin","/admin","全国BI・企業CSV・ユーザーCSV","出せる","画面","推奨","仕様","",""
"192","運営","加盟店","/admin/login","加盟店アカウントで入る","入れずサインアウト","権限","必須","仕様","",""
"193","通しシナリオ","管理者","公開前セットアップ","会社情報・マスタ・メンバー・全銀・締日・就業・見込度%まで入れて、営業／現場／総務で入り分ける","3ロールでメニューが違う","一連の流れ","必須","仕様","",""
"194","通しシナリオ","営業","受注まで","問い合わせ→顧客化→日程→メモまたは録音→見積（業者・予備費）→粗利確定→受注","契約ができる。顧客・金額・見積が残る","一連の流れ","必須","仕様＋シート1","",""
"195","通しシナリオ","現場担当","着工まで","契約承認→工事→工程→日報→台帳参照→発注→業者URLまたは紙で請書受領","納品へ進める","一連の流れ","必須","仕様＋シート1 40,108","",""
"196","通しシナリオ","現場＋経理","メール業者の支払い","納品→検収合格→業者OTP請求→ディレクター→経理→全銀またはCSV","振込データが出せる。納品日が取引日","一連の流れ","必須","仕様＋シート1 117-121","",""
"197","通しシナリオ","現場＋総務","紙発注の支払い","紙マスタ→請書受領済み→納品→検収（URLなし）→PDF添付→確認→承認→帳票","添付金額が帳票。色分け","一連の流れ","必須","シート1 130,135","",""
"198","通しシナリオ","営業＋現場","設計変更","見積改訂→追加変更→台帳→追加発注→必要なら追加工事契約","差額と追加発注が残る","一連の流れ","必須","仕様","",""
"199","通しシナリオ","営業","既存顧客の2件目","問い合わせせず商談→見積→受注→工事","2件目ができる。同じ顧客","一連の流れ","必須","仕様","",""
"200","通しシナリオ","営業","失注","見積まで出して失注","契約なし。BI見込から外れる","一連の流れ","必須","仕様","",""
"201","通しシナリオ","上長","粗利ゲート","安い見積を差戻し、直して再申請、承認してPDF","顧客向けPDFが出せる","一連の流れ","必須","仕様","",""
"202","通しシナリオ","総務","施主請求まで","完工した工事で月次請求→入金済み→ダッシュボード未入金","使う会社は必須。使わないなら対象外","一連の流れ","必須","仕様","",""
"203","通しシナリオ","経理","月末締め","科目確定→承認済みだけ全銀（合算）とCSV（請求ごと）","口座欠けは止まり、未承認は混ざらない","一連の流れ","必須","仕様＋シート1","",""
"204","通しシナリオ","2テナント","混在チェック","A社で作った顧客・文書・帳票をB社で検索／直打ち","見えない","一連の流れ","必須","仕様","",""
"205","仕様どおり対象外","—","全体","独立パイプライン／請求・予算ナビ／マーケティング","出さない","現状どおりでOK","必須","仕様＋シート1 1,35","",""
"206","仕様どおり対象外","—","全体","LINE/Slack取得・クイック返信、紙スキャンAI、トップ先方案UI、確度4区分、粗利一本化、予定配賦月割り、ユーザー別KPI編集","保留・先方待ち。バグではない","現状どおりでOK","必須","シート1 26,27,56,76,81,131,138","",""
"207","仕様どおり対象外","—","全体","職種資格マスタがフォームに出ない、作業履歴が発注と非連動、日報へ工程コピーなし、IMAP返信なし、乙PDF差し込みなし、チャットでBombAlertなし、通知トグルが実通知しない、失注理由が選択肢に出ない","仕様どおり","現状どおりでOK","必須","仕様","",""
"208","リリース判定","責任者","全体","必須がすべてOK、または使わない必須に『対象外』と理由を書いた","現場が回る","リリース判定","必須","仕様＋シート1 136,137","",""
"209","リリース判定","責任者","全体","通し12本のうち、自社が使うものがすべてOK（セットアップ／受注／着工／メール支払／紙支払／設計変更／2件目／失注／粗利／施主請求または対象外／月末／混在）","公開してよい","リリース判定","必須","仕様","",""
"210","リリース判定","責任者","全体","入れない・混ざらないがすべてOK","他社データ・運営・業者金額が漏れない","リリース判定","必須","仕様","",""
"211","リリース判定","責任者","全体","税込見積→契約税抜を目視し、運用でよいか判断した","問題なら公開前に直す","リリース判定","必須","仕様","",""
"212","リリース判定","責任者","全体","会社の全銀・締日・就業・見込度%・メンバー3ロールが入っている","初日セットアップ済み","リリース判定","必須","仕様","",""
"213","リリース判定","責任者","全体","推奨のNGは使う機能だけ潰した","IMAP本番、CloudSign本番、Instagram、決算Linq取込、アプリ連携は使わなければ対象外でよい","リリース判定","必須","シート1 136","",""
"214","リリース判定","責任者","全体","上記がすべてOK","リリースしてよい","リリース判定","必須","仕様＋シート1","",""
