https://docs.google.com/spreadsheets/d/1KjKjWfoMop1dA5tM9FcFEkqlBBbek7fAYgEtfnmIREs/edit?gid=0#gid=0,,,,,,,,,,
,No.,画面カテゴリ,セクション／タブ,ステータス,区分,タスク内容,該当箇所画像URL,詳細・補足,HGコメント,SHコメント
,107,リード,問い合わせ管理,SH完了,追加,インスタ、メールから自動取り込み,,"【BRIDGE 問い合わせ自動取り込み】メール / Instagram 設定手順

■ 先に BRIDGE でコピーするもの
場所: リード → 問い合わせ管理 → 自動取り込み Webhook
1. 「シークレット再発行」を押す
2. 次の2つを控える（シークレットは再表示できない）
   - Webhook URL（https://bridge-linq.com/api/webhooks/inbound-leads/...）
   - シークレット（ils_ で始まる文字列）
3. ヘッダー名は必ず次のとおり
   X-Bridge-Secret


━━━━━━━━━━━━━━━━
■ メール（Gmail → Zapier）
━━━━━━━━━━━━━━━━

1. https://zapier.com にログイン → Create → Zaps
2. Trigger
   App: Gmail
   Event: New Email
   ※特定アドレスだけなら New Email Matching Search
     検索例: to:info@会社ドメイン.com
   Gmailアカウントを接続
3. Action
   App: Webhooks by Zapier
   Event: POST
4. 入力
   URL: （BRIDGEのWebhook URL）
   Payload Type: Json
   Headers:
     Key:   X-Bridge-Secret
     Value: （BRIDGEのシークレット）
   Data（JSON）:

{
  ""name"": ""{{From Name}}"",
  ""email"": ""{{From Email}}"",
  ""source"": ""email"",
  ""inquiry_content"": ""{{Subject}}\n{{Body Plain}}""
}

5. Test → BRIDGEの問い合わせ一覧に1件出るか確認 → Publish

※Outlookの場合
Trigger を Outlook → New Email にする。Action は同じ。


━━━━━━━━━━━━━━━━
■ Instagram リード獲得広告（Zapier）
━━━━━━━━━━━━━━━━

1. Meta広告マネージャで Instagram / Facebook のリード獲得広告を出す
2. Zapier Trigger
   App: Facebook Lead Ads
   Event: New Lead
   Facebookページとフォームを選択
3. Action はメールと同じ（Webhooks by Zapier → POST）
   URL / ヘッダーも同じ
4. Data（JSON）:

{
  ""name"": ""{{Full Name}}"",
  ""email"": ""{{Email}}"",
  ""phone"": ""{{Phone Number}}"",
  ""source"": ""instagram"",
  ""inquiry_content"": ""Instagramリード広告""
}

5. Test → Publish


━━━━━━━━━━━━━━━━
■ Instagram DM（ManyChat）
━━━━━━━━━━━━━━━━

※BRIDGE単体ではDMを受け取れない。ManyChat等で中継する。

1. https://manychat.com で Instagram アカウントを接続
2. 自動化を新規作成
   条件: ユーザーが「見積」「料金」「資料」などを送信
3. アクション: External Request / Webhook
   Method: POST
   URL: （BRIDGEのWebhook URL）
   Header:
     X-Bridge-Secret: （BRIDGEのシークレット）
   Body:

{
  ""name"": ""{{user_name}}"",
  ""source"": ""instagram"",
  ""inquiry_content"": ""{{last_input_text}}""
}

4. 自分のInstagramからテストDMを送り、問い合わせ一覧に出るか確認


━━━━━━━━━━━━━━━━
■ 成功条件 / 出ないとき
━━━━━━━━━━━━━━━━

成功: 問い合わせ管理に source が email または instagram の件が「未対応」で増える

出ないとき:
- Zap / ManyChat が Publish 済みか
- ヘッダー名が X-Bridge-Secret か
- シークレット再発行後、Zap / ManyChat 側も更新したか
- JSON に name があるか（無いとエラー）",,Webhook＋Zapier/ManyChat中継で実装済み。Gmail/Instagramのネイティブ直結は対象外（シート記載の中継方式）。/leads の自動取り込み設定を確認。2026-08-30。
,108,発注書/請書,請書,SH完了,修正,受書の確認方法,,発注書と請書を確認できるようにする,こちらについて次回詳しく教えていただきたいです。,社内は請書を受領後のみ確認可。業者URLは受領前に発注書・受領後に請書。CloudSign署名完了で受領日を記録。紙は「請書を受領済みにする」。発注書PDFのCloudSign添付は未実装。2026-08-30。
,109,帳票データ作成,画面名称,SH完了,修正,「FBデータ作成」を「帳票データ作成」に名称変更,,メニュー・パンくず・タイトルを変更。経理軸（全銀データ）と営業事務軸（案件別一覧）のどちらからも分かる名前にするため,2026-08-19 社内会議で決定。Figma「BRIDGE Linq 画面改修」の 07_帳票データ作成 ページ参照,メニュー・パンくず・タイトルは「帳票データ作成」。コード内に「FBデータ」表記なし。2026-08-30 確認。
,110,帳票データ作成,出力形式,SH完了,修正,出力形式を「全銀フォーマット」「CSV」の2種類にし、タブで切り替える,,銀行別CSVは廃止。1画面に収め、タブで表の中身が切り替わる。全銀＝経理向け、CSV＝営業事務・ディレクター向けで欲しい情報が違うため,Figma 07 の画面A（全銀タブ）・画面B（CSVタブ）,全銀フォーマット／CSVの2形式切替。銀行別CSVはなし。2026-08-30 確認。
,111,帳票データ作成,全銀フォーマットタブ,SH完了,追加,全銀タブは 業者名・振込先口座・受取人名（カナ）・請求額・手数料・振込額 の表で表示する,,振込先口座（≒業者）をキーに、複数案件の請求を合算して1行にする。部門・勘定科目の列は全銀データに不要なので持たない,"例：田中建設は請求2件（2,200,000＋900,000）→1行 3,100,000",業者＋口座キーで合算。列は業者名・振込先口座・受取人名（カナ）・請求額・手数料・振込額。表本体に部門・勘定科目列なし。2026-08-30 確認。
,112,帳票データ作成,CSVタブ,SH完了,追加,CSVタブは請求ごとに1行の表で表示する（案件番号・案件名・業者名・部門・納品日・税抜金額・消費税・税込金額）,,プロジェクトごとというより請求ごとに知りたいため、同じ業者・同じ案件でも請求が分かれれば別行になる（業者が複数行になりうる）,,請求ごとに1行。案件番号・案件名・業者名・部門・納品日・税抜・消費税・税込を表示。2026-08-30 確認。
,113,帳票データ作成,CSVタブ,SH完了,追加,CSVの出力項目をチェックで選べるようにする,,チェックした列だけ書き出す。アンドパッドの請求エクスポート機能が参考。税率・監督名・単価は出さない,,チェックした列だけCSV書き出し。2026-08-30 確認。
,114,帳票データ作成,一覧,SH完了,追加,列見出しクリックでソートできるようにする（案件・業者・部門ほか）,,全銀タブ・CSVタブ共通,,CSVは案件番号・案件名・税抜・消費税・税込もソート。全銀は業者・口座・カナ・請求額・手数料・振込額もソート。2026-08-30 実装。
,115,帳票データ作成,承認連携,SH完了,追加,経理が承認した請求だけを帳票データの対象にする,,ディレクター確認→経理承認の順。未承認の請求は全銀・CSVとも含めない（金額誤り・翌月回しに対応）,No.121（請求書受領〜承認）と対になる,経理承認（payment_approved）のみ帳票対象。2026-08-30 確認。
,116,帳票データ作成,勘定科目,SH完了,検討,勘定科目をAIが推測して自動入力する,,帳票データ（全銀）には勘定科目は不要。実行予算画面でディレクター・施工管理が入力し、経理が修正した内容をAIが学習して次回以降は自動で推測する,2026-08-19 社内会議で検討事項として挙がった,実行予算に科目列。空行は未設定のまま。人の入力・経理確定だけ学習（経理は重み3）。全銀ファイル・全銀画面は科目不要（警告はCSVのみ）。一括・個別発注に転記。2026-08-30 徹底確認。
,117,納品・検収,発注済み一覧,SH完了,追加,納品・検収管理画面（発注済み一覧）を新設する,,発注済み→納品済み（検収待ち）→検収完了（請求待ち）→請求書受領→確認済み→承認済み のステータスで管理。ステータスごとに操作ボタン（納品を登録／検収完了／URLを再送／請求書を確認）が変わる。案件・業者・ステータスで絞り込み、列ソート,Figma「08_納品・検収・請求」ページ 画面1。発注書→受け書はクラウドサインAPI（No.108 関連）,/fulfillment に発注済み〜承認済みの一覧・絞込・ソート・操作ボタンあり。請書未受領では納品不可。2026-08-30。
,118,納品・検収,納品,SH完了,追加,「納品を登録」で 納品日・納品内容・添付（納品書・写真）を登録する,,納品日＝インボイスの取引日として、業者が送る請求書に自動で入る。分納の場合は納品ごとに行が増える,Figma 08 画面2（納品情報カード）,納品日・内容・添付を登録。分納は金額必須かつ発注額未満。差戻しで納品添付をクリア。2026-08-30。
,119,納品・検収,検収,SH完了,追加,担当者が「検収完了」すると、業者のメールアドレス宛に「請求書を送るURL」を自動送信する,,合格／差し戻しを選ぶ。合格で検収完了（請求待ち）になり、業者マスタのメール宛にワンタイムURL（ログイン不要）を送る。有効期限は30日で仮置き。一覧から再送も可,Figma 08 画面2（検収カード・業者への連絡）。URLの有効期限・差し戻し時のステータスは未決,合格／差戻し、URL送信（30日）、再送を実装。紙発注はURLを送らず紙／PDF送付の案内メール（メールがあれば）。2026-08-30。
,120,納品・検収,業者向けページ,SH完了,追加,業者向けの請求書送信ページ（外部URL・ログイン不要）を新設する,,当社フォーマットの請求書が発注書・納品記録・業者マスタから自動入力された状態で表示。業者は請求日・請求番号・登録番号を入力し、任意で自社書式PDFを添付して「請求書を送る」を押す,Figma 08 画面3。業者が自社書式の請求書しか出さない場合の扱いは未決,/partner/invoice/[token]。請求日・登録番号（T+13桁）はサーバー必須。OTP未確認では金額・口座を返さない。業者住所はマスタに列がなく空。2026-08-30。
,121,納品・検収,請求書受領〜承認,SH完了,追加,業者が送信すると一覧に「請求書受領」として表示し、ディレクター確認→経理承認で帳票データへ流す,,ディレクターが内容確認・チェックで「確認済み」、経理が承認で「承認済み」。承認済みだけが帳票データ作成（No.115）の対象になる,No.115（承認連携）と対,請求書受領→ディレクター確認→経理承認の順をサーバーでも強制。承認済みだけ帳票。2026-08-30。
,122,納品・検収,全体,SH完了,検討,納品・検収フローの未決事項を決める,,2026-08-27 定例で決着。①URL有効期限は30日仮置き・再送可 ②自社書式・紙発注は検収完了一覧のPDF添付で請求書受領へ（紙の自動取込はフェーズ1対象外） ③差し戻しは発注済みへ戻す ④分納は納品ごとに検収・請求 ⑤経理承認は権限「納品・検収の経理承認」 ⑥業者ログインなし・メール確認コード。紙運用の詳細図と分納の最終確認は先方／社内で継続。,Figma 08 テキスト説明パネル「決めること」に同じ内容,8/27決定6点を実装。紙発注の5ステップと分納（納品ごとに検収・請求）を画面に明記。2026-08-30。
,123,契約管理画面,書類作成タブ,SH完了,追加,特記事項を契約書の種類ごとに設定できるようにする（固定部分と都度変わる部分を分ける）,,特記事項には固定のものと案件ごとに変わるものがある。契約書テンプレート（No.30）ごとに特記事項の既定文を持ち、作成時に都度部分だけ編集できる形にする,2026-08-19 社内会議。遡り条文（No.124）が代表例,特記（固定）はテンプレート既定でロック。作成時は都度部分だけ編集。2026-08-30。
,124,契約管理画面,書類作成タブ,SH完了,検討,遡り条文を「工期の着手日から効力を成す」等の汎用表現に置き換えられるか検討する,,遡り条文＝契約日より前の日付から効力を発生させる文面。都度書くのではなく汎用表現に置き換えられれば固定文にできる。置き換えられない場合は No.123 の都度部分で扱う,2026-08-19 社内会議。法務・顧客側が受け入れる文面かの確認が要る,汎用表現を請負契約の固定特記として採用しロック。法務の受け入れ確認は先方。2026-08-30。
,125,契約管理画面,電子契約タブ,SH完了,修正,クラウドサインで送る契約書は文面を「電子文書のみ」に変更する,,現状の文面は「書面を2通作成し…」。電子契約（No.32）で送る場合は、テンプレート側で電子文書用の文面（電子文書を作成し双方が保管する旨）に切り替わるようにする,2026-08-19 社内会議。No.32（クラウドサイン連携）とセット,CloudSign送信時は電子文書文面を強制し契約書HTMLを添付。書面2通の文言は使わない。2026-08-30。
,126,契約管理画面,書類作成タブ,SH完了,検討,約款の持ち方を決める（PDFのひな形に含める／テキストエリアに直接貼る）,,約款はPDFのひな形に含める方法と、テキストエリアに直接ペーストする方法のどちらも可能。テンプレート管理（No.30）でどちらにするか、契約書の種類ごとに変えられるかを決める,2026-08-19 社内会議。改訂頻度が高いならテキストエリアの方が直しやすい,種類ごとに標準約款（ひな形）を持つ。ひな形時は編集不可。テキスト編集を選んだときだけ貼り付け可。2026-08-30。
,127,契約管理画面,書類作成タブ,SH完了,修正,工期・名称などを顧客情報・案件情報から自動入力し、確認なしで出力できるようにする,,契約書の差し込み項目（工期・名称・顧客名・金額など）は顧客情報・工事管理から自動転記し、担当者が入力し直さずにPDF出力できる形を目指す,No.30（テンプレートの自動転記）の範囲を工期・名称まで広げる,顧客名・工期・名称・金額を案件・見積・工程から自動転記。PDF出力前にも空欄を埋める。2026-08-30。
,128,全画面共通,名称,SH完了,修正,「工事名称」を「名称」に変更する,,グラフィック等、工事以外の案件も扱うため。契約書テンプレート・見積・工事台帳・発注書など「工事名称」と表示している箇所を「名称」に統一する,2026-08-19 社内会議で決定。対象箇所の洗い出しが要る。No.106（施工業者名→業者名）と同じ趣旨の名称統一,アプリUIの「工事名称」は「名称」に統一済み。2026-08-30 確認。
,129,納品・検収,業者認証,SH完了,決定,検収データの認証方式はメール認証とする（業者向けログインは設けない）,,業者ページはログイン画面を出さない。登録メールへ確認コードを送り、入力後にだけ請求書を送信できる。,2026-08-27 定例 決定1,/partner/invoice/[token] で確認コード実装済み。2026-08-30 確認。
,130,納品・検収,紙発注・自社書式,SH完了,追加,検収完了一覧にPDF添付ボタンを置き、添付を合図に「請求書受領」へ自動移動する。紙発注分は色分けする,,アンドパッド非利用（紙発注・自社書式）の業者は、総務が受領したPDF（紙はスキャン）を添付する。金額一致の確認欄あり。添付金額が帳票へ載る。,2026-08-27 定例 決定2,attachStaffInvoicePdf・紙発注バッジ・「紙発注のみ」絞込を実装。職人マスタに受領方法を追加。2026-08-30 確認。
,131,納品・検収,紙発注,HG確認完了,削除,紙の自動取込（スキャンAI読取）はフェーズ1の対象外とする,,需要を見て次フェーズで検討。フォルダ投入→AIマッチングの構想は共有済みだが今は入れない。,2026-08-27 定例 決定3,フェーズ1では実装しない方針を確認。2026-08-30。
,132,納品・検収,紙発注,保留,検討,紙運用フローの詳細は先方が言語化・図式化して共有したあと、その内容を基に実装する,,三瀬氏が中島氏へヒアリングし整理。総務が付けるのか、金額ずれの扱いなど、共有後に変わる可能性がある。,2026-08-27 定例 決定4／AI 1（先方・次回定例まで）,骨格（PDF添付・色分け）は先に入れてある。詳細図の共有待ち。
,133,帳票データ作成,全銀,SH完了,修正,先方サンプル（アンドパッド出力テキスト・FB用Excel）と同形式の全銀テキストを出力する,,120バイト・SJIS。依頼人コード・銀行コードが入る。不明点はLINEで質問する前提。,2026-08-27 定例 議題②／AI 7,buildZenginText／encodeZenginSjis を実装。先方サンプルとの最終照合は継続。2026-08-30。
,134,帳票データ作成,勘定科目,SH完了,追加,「勘定科目の確定」画面を新設する,,内容は変更の可能性があるため、確定後に先方より連絡。画面単位での変更はない見込み。,2026-08-27 進捗報告／AI 2（先方・決定次第）,/account-items を実装済み。科目マスタの中身は先方連絡待ち。2026-08-30。
,135,帳票データ作成,金額連携,SH完了,追加,添付した請求書PDFの入力金額を帳票データ（全銀・CSV）へそのまま反映する,,金額が一致するか見て、その数字がFBへ載る想定。差がある場合は確認チェック後に添付金額を採用。,2026-08-27 定例 4-2,vendor_invoice_amount を帳票の請求額に使用。2026-08-30 確認。
,136,全般,スコープ,HG確認完了,決定,フェーズ1での新機能追加はなし。現行スコープを完成させ、10月1日の利用開始を目標とする,,スプレッドシート128行目まで＋追加分。修正・変更要望は引き続きスプレッドシートへ追記する運用。,2026-08-27 定例 決定5,8/27合意範囲以外のメニュー追加はしていない。2026-08-30。
,137,全般,検証,SH完了,追加,全体フローの検証シートを作成し、9月第1〜2週に共有する,,納品・検収〜帳票の決定事項確認と操作手順を記載。,2026-08-27 定例 AI 8,docs/fulfillment-flow-checklist.md を作成。実施結果の記入は9月第1〜2週。2026-08-30。
,138,ダッシュボード,トップ画面,保留,検討,ログイン後トップ画面のUI案は先方が作成・共有する,,開発着手後の手戻り防止のため、中島氏にも要件リストを事前確認いただく。,2026-08-27 その他／AI 3（先方）,先方案待ち。実装しない。
,139,納品・検収,分納,保留,検討,分納時の検収単位・データの持ち方を確定する,,先方の整理資料に記載見込み。社内では納品ごとに行を分けて検収・請求する実装で検証継続。,2026-08-27 社内メモ,分納登録で残行が分かれる実装はある。最終確認は先方資料待ち。
,140,,,,,,,,,
,141,,,,,,,,,
,142,,,,,,,,,
,143,,,,,,,,,
,144,,,,,,,,,
,145,,,,,,,,,
,146,,,,,,,,,
,147,,,,,,,,,
,148,,,,,,,,,
,149,,,,,,,,,
,150,,,,,,,,,
,151,,,,,,,,,
,152,,,,,,,,,
,153,,,,,,,,,
,154,,,,,,,,,
,155,,,,,,,,,
,156,,,,,,,,,
,157,,,,,,,,,
,158,,,,,,,,,
,159,,,,,,,,,
,160,,,,,,,,,
,161,,,,,,,,,
,162,,,,,,,,,
,163,,,,,,,,,
,164,,,,,,,,,
,165,,,,,,,,,
,166,,,,,,,,,
,167,,,,,,,,,
,168,,,,,,,,,
,169,,,,,,,,,
,170,,,,,,,,,
,171,,,,,,,,,
,172,,,,,,,,,
,173,,,,,,,,,
,174,,,,,,,,,
,175,,,,,,,,,
,176,,,,,,,,,
,177,,,,,,,,,
,178,,,,,,,,,
,179,,,,,,,,,
,180,,,,,,,,,
,181,,,,,,,,,
,182,,,,,,,,,
,183,,,,,,,,,
,184,,,,,,,,,
,185,,,,,,,,,
,186,,,,,,,,,
,187,,,,,,,,,
,188,,,,,,,,,
,189,,,,,,,,,
,190,,,,,,,,,
,191,,,,,,,,,
,192,,,,,,,,,
,193,,,,,,,,,
,194,,,,,,,,,
,195,,,,,,,,,
,196,,,,,,,,,
,197,,,,,,,,,
,198,,,,,,,,,
,199,,,,,,,,,
,200,,,,,,,,,
,201,,,,,,,,,
,202,,,,,,,,,
,203,,,,,,,,,
,204,,,,,,,,,
,205,,,,,,,,,
,206,,,,,,,,,
,207,,,,,,,,,
,208,,,,,,,,,
,209,,,,,,,,,
,210,,,,,,,,,
,211,,,,,,,,,
,212,,,,,,,,,
,213,,,,,,,,,
,214,,,,,,,,,
,215,,,,,,,,,
,216,,,,,,,,,
,217,,,,,,,,,
,218,,,,,,,,,
,219,,,,,,,,,
,220,,,,,,,,,
,221,,,,,,,,,
,222,,,,,,,,,
,223,,,,,,,,,
,224,,,,,,,,,
,225,,,,,,,,,
,226,,,,,,,,,
,227,,,,,,,,,
,228,,,,,,,,,
,229,,,,,,,,,
,230,,,,,,,,,
,231,,,,,,,,,
,232,,,,,,,,,
,233,,,,,,,,,
,234,,,,,,,,,
,235,,,,,,,,,
,236,,,,,,,,,
,237,,,,,,,,,
,238,,,,,,,,,
,239,,,,,,,,,
,240,,,,,,,,,
,241,,,,,,,,,
,242,,,,,,,,,
,243,,,,,,,,,
,244,,,,,,,,,
,245,,,,,,,,,
,246,,,,,,,,,
,247,,,,,,,,,
,248,,,,,,,,,
,249,,,,,,,,,
,250,,,,,,,,,
,251,,,,,,,,,
,252,,,,,,,,,
,253,,,,,,,,,
,254,,,,,,,,,
,255,,,,,,,,,
,256,,,,,,,,,
,257,,,,,,,,,
,258,,,,,,,,,
,259,,,,,,,,,
,260,,,,,,,,,
,261,,,,,,,,,
,262,,,,,,,,,
,263,,,,,,,,,
,264,,,,,,,,,
,265,,,,,,,,,
,266,,,,,,,,,
,267,,,,,,,,,
,268,,,,,,,,,
,269,,,,,,,,,
,270,,,,,,,,,
,271,,,,,,,,,
,272,,,,,,,,,
,273,,,,,,,,,
,274,,,,,,,,,
,275,,,,,,,,,
,276,,,,,,,,,
,277,,,,,,,,,
,278,,,,,,,,,
,279,,,,,,,,,
,280,,,,,,,,,
,281,,,,,,,,,
,282,,,,,,,,,
,283,,,,,,,,,
,284,,,,,,,,,
,285,,,,,,,,,
,286,,,,,,,,,
,287,,,,,,,,,
,288,,,,,,,,,
,289,,,,,,,,,
,290,,,,,,,,,
,291,,,,,,,,,
,292,,,,,,,,,
,293,,,,,,,,,
,294,,,,,,,,,
,295,,,,,,,,,
,296,,,,,,,,,
,297,,,,,,,,,
,298,,,,,,,,,
,299,,,,,,,,,
,300,,,,,,,,,
,301,,,,,,,,,
,302,,,,,,,,,
,303,,,,,,,,,
,304,,,,,,,,,
,305,,,,,,,,,
,306,,,,,,,,,
,307,,,,,,,,,
,308,,,,,,,,,
,309,,,,,,,,,
,310,,,,,,,,,
,311,,,,,,,,,
,312,,,,,,,,,
,313,,,,,,,,,
,314,,,,,,,,,
,315,,,,,,,,,
,316,,,,,,,,,
,317,,,,,,,,,
,318,,,,,,,,,
,319,,,,,,,,,
,320,,,,,,,,,
,321,,,,,,,,,
,322,,,,,,,,,
,323,,,,,,,,,
,324,,,,,,,,,
,325,,,,,,,,,
,326,,,,,,,,,
,327,,,,,,,,,
,328,,,,,,,,,
,329,,,,,,,,,
,330,,,,,,,,,
,331,,,,,,,,,
,332,,,,,,,,,
,333,,,,,,,,,
,334,,,,,,,,,
,335,,,,,,,,,
,336,,,,,,,,,
,337,,,,,,,,,
,338,,,,,,,,,
,339,,,,,,,,,
,340,,,,,,,,,
,341,,,,,,,,,
,342,,,,,,,,,
,343,,,,,,,,,
,344,,,,,,,,,
,345,,,,,,,,,
,346,,,,,,,,,
,347,,,,,,,,,
,348,,,,,,,,,
,349,,,,,,,,,
,350,,,,,,,,,
,351,,,,,,,,,
,352,,,,,,,,,
,353,,,,,,,,,
,354,,,,,,,,,
,355,,,,,,,,,
,356,,,,,,,,,
,357,,,,,,,,,
,358,,,,,,,,,
,359,,,,,,,,,
,360,,,,,,,,,
,361,,,,,,,,,
,362,,,,,,,,,
,363,,,,,,,,,
,364,,,,,,,,,
,365,,,,,,,,,
,366,,,,,,,,,
,367,,,,,,,,,
,368,,,,,,,,,
,369,,,,,,,,,
,370,,,,,,,,,
,371,,,,,,,,,
,372,,,,,,,,,
,373,,,,,,,,,
,374,,,,,,,,,
,375,,,,,,,,,
,376,,,,,,,,,
,377,,,,,,,,,
,378,,,,,,,,,
,379,,,,,,,,,
,380,,,,,,,,,
,381,,,,,,,,,
,382,,,,,,,,,
,383,,,,,,,,,
,384,,,,,,,,,
,385,,,,,,,,,
,386,,,,,,,,,
,387,,,,,,,,,
,388,,,,,,,,,
,389,,,,,,,,,
,390,,,,,,,,,
,391,,,,,,,,,
,392,,,,,,,,,
,393,,,,,,,,,
,394,,,,,,,,,
,395,,,,,,,,,
,396,,,,,,,,,
,397,,,,,,,,,
,398,,,,,,,,,
,399,,,,,,,,,
,400,,,,,,,,,
,401,,,,,,,,,
,402,,,,,,,,,
,403,,,,,,,,,
,404,,,,,,,,,
,405,,,,,,,,,
,406,,,,,,,,,
,407,,,,,,,,,
,408,,,,,,,,,
,409,,,,,,,,,
,410,,,,,,,,,
,411,,,,,,,,,
,412,,,,,,,,,
,413,,,,,,,,,
,414,,,,,,,,,
,415,,,,,,,,,
,416,,,,,,,,,
,417,,,,,,,,,
,418,,,,,,,,,
,419,,,,,,,,,
,420,,,,,,,,,
,421,,,,,,,,,
,422,,,,,,,,,
,423,,,,,,,,,
,424,,,,,,,,,
,425,,,,,,,,,
,426,,,,,,,,,
,427,,,,,,,,,
,428,,,,,,,,,
,429,,,,,,,,,
,430,,,,,,,,,
,431,,,,,,,,,
,432,,,,,,,,,
,433,,,,,,,,,
,434,,,,,,,,,
,435,,,,,,,,,
,436,,,,,,,,,
,437,,,,,,,,,
,438,,,,,,,,,
,439,,,,,,,,,
,440,,,,,,,,,
,441,,,,,,,,,
,442,,,,,,,,,
,443,,,,,,,,,
,444,,,,,,,,,
,445,,,,,,,,,
,446,,,,,,,,,
,447,,,,,,,,,
,448,,,,,,,,,
,449,,,,,,,,,
,450,,,,,,,,,
,451,,,,,,,,,
,452,,,,,,,,,
,453,,,,,,,,,
,454,,,,,,,,,
,455,,,,,,,,,
,456,,,,,,,,,
,457,,,,,,,,,
,458,,,,,,,,,
,459,,,,,,,,,
,460,,,,,,,,,
,461,,,,,,,,,
,462,,,,,,,,,
,463,,,,,,,,,
,464,,,,,,,,,
,465,,,,,,,,,
,466,,,,,,,,,
,467,,,,,,,,,
,468,,,,,,,,,
,469,,,,,,,,,
,470,,,,,,,,,
,471,,,,,,,,,
,472,,,,,,,,,
,473,,,,,,,,,
,474,,,,,,,,,
,475,,,,,,,,,
,476,,,,,,,,,
,477,,,,,,,,,
,478,,,,,,,,,
,479,,,,,,,,,
,480,,,,,,,,,
,481,,,,,,,,,
,482,,,,,,,,,
,483,,,,,,,,,
,484,,,,,,,,,
,485,,,,,,,,,
,486,,,,,,,,,
,487,,,,,,,,,
,488,,,,,,,,,
,489,,,,,,,,,
,490,,,,,,,,,
,491,,,,,,,,,
,492,,,,,,,,,
,493,,,,,,,,,
,494,,,,,,,,,
,495,,,,,,,,,
,496,,,,,,,,,
,497,,,,,,,,,
,498,,,,,,,,,
,499,,,,,,,,,
,500,,,,,,,,,
,501,,,,,,,,,
,502,,,,,,,,,
,503,,,,,,,,,
,504,,,,,,,,,
,505,,,,,,,,,
,506,,,,,,,,,
,507,,,,,,,,,
,508,,,,,,,,,
,509,,,,,,,,,
,510,,,,,,,,,
,511,,,,,,,,,
,512,,,,,,,,,
,513,,,,,,,,,
,514,,,,,,,,,
,515,,,,,,,,,
,516,,,,,,,,,
,517,,,,,,,,,
,518,,,,,,,,,
,519,,,,,,,,,
,520,,,,,,,,,
,521,,,,,,,,,
,522,,,,,,,,,
,523,,,,,,,,,
,524,,,,,,,,,
,525,,,,,,,,,
,526,,,,,,,,,
,527,,,,,,,,,
,528,,,,,,,,,
,529,,,,,,,,,
,530,,,,,,,,,
,531,,,,,,,,,
,532,,,,,,,,,
,533,,,,,,,,,
,534,,,,,,,,,
,535,,,,,,,,,
,536,,,,,,,,,
,537,,,,,,,,,
,538,,,,,,,,,
,539,,,,,,,,,
,540,,,,,,,,,
,541,,,,,,,,,
,542,,,,,,,,,
,543,,,,,,,,,
,544,,,,,,,,,
,545,,,,,,,,,
,546,,,,,,,,,
,547,,,,,,,,,
,548,,,,,,,,,
,549,,,,,,,,,
,550,,,,,,,,,
,551,,,,,,,,,
,552,,,,,,,,,
,553,,,,,,,,,
,554,,,,,,,,,
,555,,,,,,,,,
,556,,,,,,,,,
,557,,,,,,,,,
,558,,,,,,,,,
,559,,,,,,,,,
,560,,,,,,,,,
,561,,,,,,,,,
,562,,,,,,,,,
,563,,,,,,,,,
,564,,,,,,,,,
,565,,,,,,,,,
,566,,,,,,,,,
,567,,,,,,,,,
,568,,,,,,,,,
,569,,,,,,,,,
,570,,,,,,,,,
,571,,,,,,,,,
,572,,,,,,,,,
,573,,,,,,,,,
,574,,,,,,,,,
,575,,,,,,,,,
,576,,,,,,,,,
,577,,,,,,,,,
,578,,,,,,,,,
,579,,,,,,,,,
,580,,,,,,,,,
,581,,,,,,,,,
,582,,,,,,,,,
,583,,,,,,,,,
,584,,,,,,,,,
,585,,,,,,,,,
,586,,,,,,,,,
,587,,,,,,,,,
,588,,,,,,,,,
,589,,,,,,,,,
,590,,,,,,,,,
,591,,,,,,,,,
,592,,,,,,,,,
,593,,,,,,,,,
,594,,,,,,,,,
,595,,,,,,,,,
,596,,,,,,,,,
,597,,,,,,,,,
,598,,,,,,,,,
,599,,,,,,,,,
,600,,,,,,,,,
,601,,,,,,,,,
,602,,,,,,,,,
,603,,,,,,,,,
,604,,,,,,,,,
,605,,,,,,,,,
,606,,,,,,,,,
,607,,,,,,,,,
,608,,,,,,,,,
,609,,,,,,,,,
,610,,,,,,,,,
,611,,,,,,,,,
,612,,,,,,,,,
,613,,,,,,,,,
,614,,,,,,,,,
,615,,,,,,,,,
,616,,,,,,,,,
,617,,,,,,,,,
,618,,,,,,,,,
,619,,,,,,,,,
,620,,,,,,,,,
,621,,,,,,,,,
,622,,,,,,,,,
,623,,,,,,,,,
,624,,,,,,,,,
,625,,,,,,,,,
,626,,,,,,,,,
,627,,,,,,,,,
,628,,,,,,,,,
,629,,,,,,,,,
,630,,,,,,,,,
,631,,,,,,,,,
,632,,,,,,,,,
,633,,,,,,,,,
,634,,,,,,,,,
,635,,,,,,,,,
,636,,,,,,,,,
,637,,,,,,,,,
,638,,,,,,,,,
,639,,,,,,,,,
,640,,,,,,,,,
,641,,,,,,,,,
,642,,,,,,,,,
,643,,,,,,,,,
,644,,,,,,,,,
,645,,,,,,,,,
,646,,,,,,,,,
,647,,,,,,,,,
,648,,,,,,,,,
,649,,,,,,,,,
,650,,,,,,,,,
,651,,,,,,,,,
,652,,,,,,,,,
,653,,,,,,,,,
,654,,,,,,,,,
,655,,,,,,,,,
,656,,,,,,,,,
,657,,,,,,,,,
,658,,,,,,,,,
