No	大分類	誰が	画面	開き方（メニュー／URL）	チェック内容（操作）	期待結果	種別	優先度	出典	結果（OK/NG/対象外）	メモ
131	納品・検収	現場担当	検収	生産 › 納品・検収 → /fulfillment の該当行「検収完了」	メール業者を合格。一覧からURL再送	請求待ち。業者メールにURL（30日）。再送できる	一連の流れ	必須	シート1 119		
132	納品・検収	現場担当	検収	生産 › 納品・検収 → /fulfillment の該当行「検収完了」	紙発注を合格	URLは送らず、紙／PDF案内（メールがあれば）	一連の流れ	必須	シート1 119,130		
133	納品・検収	業者	業者ポータル	サイドバーに無い。検収合格後の業者メール。/partner/invoice/[token]	メール認証：確認コードを送る→登録メールの6桁を入力→請求日・登録番号（T+13）を入れて送る。業者ログインは使わない	ログイン不要。コード確認後だけ金額・口座が出て送れる。一覧が請求書受領。業者住所は空のことがある	一連の流れ	必須	仕様＋シート1 120,129		
134	納品・検収	総務	紙発注	生産 › 納品・検収 → /fulfillment（紙発注の行／PDF添付）	PDF添付（金額一致）	請求書受領。帳票は添付金額	一連の流れ	必須	シート1 130,135		
135	納品・検収	総務	紙発注	生産 › 納品・検収 → /fulfillment（紙発注の行／PDF添付）	金額変更＋チェックなし	進めない	画面	必須	シート1 135		
136	納品・検収	総務	紙発注	生産 › 納品・検収 → /fulfillment（紙発注の行／PDF添付）	金額変更＋確認チェック	請求書受領。金額差。帳票は添付金額	一連の流れ	必須	シート1 135		
137	納品・検収	現場担当	職人	左メニュー リード › 職人管理 → /craftsmen	受領方法を紙に変え、納品・検収を見る	琥珀色＋紙発注。紙発注のみで絞れる	入力が渡る	必須	シート1 130		
138	納品・検収	ディレクター	請求確認	生産 › 納品・検収 → /fulfillment の「請求書を確認」	確認済みにする	まだ帳票対象ではない。経理承認より先に確認が必要（サーバー強制）	一連の流れ	必須	シート1 121		
139	納品・検収	経理	経理承認	生産 › 納品・検収 → /fulfillment の経理承認ボタン	承認する	帳票対象になる	一連の流れ	必須	シート1 115,121		
140	納品・検収	全員	紙スキャンAI	どの画面にも無い（フェーズ1対象外）	フォルダ投入やAI読取	無い（フェーズ1対象外）	現状どおりでOK	必須	シート1 131		
141	月末経理	経理	帳票	左メニュー 生産 › 帳票データ作成 → /ledger	名称が帳票データ作成。全銀／CSVタブ	銀行別CSVは無い	画面	必須	シート1 109,110		
142	月末経理	経理	帳票	左メニュー 生産 › 帳票データ作成 → /ledger	未承認の請求	全銀にもCSVにも出ない	入力が渡る	必須	シート1 115		
143	月末経理	経理	全銀タブ	生産 › 帳票データ作成 → /ledger の全銀フォーマットタブ	同じ業者の承認済み請求が2件ある状態で見る	業者＋口座で1行に合算。列は業者・口座・カナ・請求額・手数料・振込額。部門・科目列なし。ソート可	入力が渡る	必須	シート1 111,114		
144	月末経理	経理	全銀	生産 › 帳票データ作成 → /ledger の全銀フォーマットタブ	振込指定日・手数料負担・依頼人を今回分上書きして出力	120バイトSJIS。依頼人・銀行コードが入る。初期依頼人は会社情報	一連の流れ	必須	仕様＋シート1 133		
145	月末経理	経理	全銀	生産 › 帳票データ作成 → /ledger の全銀フォーマットタブ	口座欠けの職人	全銀できない	画面	必須	仕様		
146	月末経理	経理	CSV	生産 › 帳票データ作成 → /ledger のCSVタブ	請求ごとに1行。列をチェックして書き出し	同じ業者でも請求が分かれれば別行。選んだ列だけ。科目未確定は警告（全銀には科目不要）	画面	必須	シート1 112,113,116		
147	月末経理	経理	勘定科目	左メニュー 生産 › 勘定科目の確定 → /account-items	未確定を業者単位で確定して帳票へ戻る	次回候補。空行を自動で外注加工費にしない。経理確定は学習の重みが大きい	入力が渡る	必須	仕様＋シート1 116,134		
148	月末経理	経理	帳票	左メニュー 生産 › 帳票データ作成 → /ledger	紙添付で金額を変えた請求	帳票の請求額は添付金額	入力が渡る	必須	シート1 135		
149	職人	現場担当	職人	左メニュー リード › 職人管理 → /craftsmen	初期が一覧。カードへ切替。専門で絞る	一覧・カードの順	画面	必須	シート1 21		
150	職人	現場担当	職人	左メニュー リード › 職人管理 → /craftsmen	名前・会社・電話・メール・受領方法を登録し、見積と発注で選ぶ	発注先・納品・OTP・CloudSign署名者に出る	入力が渡る	必須	仕様		
151	職人	経理	職人	左メニュー リード › 職人管理 → /craftsmen	銀行コード・支店・種目・口座・受取人名カナ	全銀に出る。欠けたら全銀不可	入力が渡る	必須	仕様		
152	職人	現場担当	職人	左メニュー リード › 職人管理 → /craftsmen	ランク・スキル・エリア・契約単価・支払い予定	詳細だけ。発注金額・BIには使わない。作業履歴は発注と繋がらない	現状どおりでOK	必須	仕様＋シート1 22,23		
153	職人	管理者	職人	左メニュー リード › 職人管理 → /craftsmen	未登録業者／予備費／経営調整費を削除しようとする	削除できない	画面	必須	シート1 66		
154	職人	管理者	職人マスタ	左下アイコン › 設定 › マスタ › 職人マスタ → /settings?tab=craftsmen_master	職種・資格を追加	職人の新規・編集の職種区分／資格の選択肢に出る	入力が渡る	必須	仕様		
155	施主請求	総務	/invoices	サイドバーに無い。アドレスバーに /invoices（施主への請求）	ナビに無いことを確認し、直打ちで開く	権限があれば入れる。サイドバーには出ない	画面	必須	仕様＋シート1 35		
156	施主請求	総務	/invoices	サイドバーに無い。アドレスバーに /invoices（施主への請求）	会社締日＋工事の着工・完工で月次一括生成	工程表のタスクは見ない。明細に工事名称（名称）が載る	一連の流れ	必須	仕様		施主請求を使う会社は必須。使わないなら対象外とメモ
157	施主請求	総務	/invoices	サイドバーに無い。アドレスバーに /invoices（施主への請求）	宛名・期日・明細を直し、送付→入金済み	ダッシュボードの未入金が減る。印刷／PDFできる	入力が渡る	必須	仕様		
158	現場の日常	全員	ダッシュボード	左メニュー ダッシュボード › ダッシュボード → /dashboard	受注したあとKPI（受注額・パイプライン・未入金・承認待ち・進行中工事）	今作ったデータが数字に出る	入力が渡る	必須	仕様		
159	現場の日常	現場担当	ダッシュボード	左メニュー ダッシュボード › ダッシュボード → /dashboard	出勤／退勤。勤怠画面を開く	同じ記録。ステータスが出勤中→退勤済	一連の流れ	必須	仕様		
160	現場の日常	全員	ダッシュボード	左メニュー ダッシュボード › ダッシュボード → /dashboard	表示設定とDnD。再読み込み	本人のレイアウトが残る。ユーザー別KPIの自由編集は未実装	現状どおりでOK	必須	仕様＋シート1 56		
161	現場の日常	現場担当	勤怠	左メニュー ポータル › 勤怠 → /attendance	追加した休暇区分で記録。管理者が承認／却下	月次に出る。所定は会社の始業終業	入力が渡る	必須	仕様		
162	現場の日常	現場担当	ワークフロー	申請操作は 左メニュー ポータル › ワークフロー → /workflow。設定は 設定 › 組織 › ワークフロー → /settings?tab=workflow_types	経費申請→差戻し→再申請→承認。見積承認も同じ一覧	承認／条件付き／差戻し／却下。見積と契約の申請もここに届く	一連の流れ	必須	仕様		
163	現場の日常	管理者	回覧	左メニュー ポータル › 回覧 → /circulation	ピン留め通常投稿と、緊急＋現場担当ロール	対象だけ一覧に出る。既読が付く。緊急未読でBombAlert。チャット未読では出ない。確認後は再表示しない	一連の流れ	必須	仕様		
164	現場の日常	現場担当	カレンダー	左メニュー ポータル › カレンダー → /calendar	現場予定を作り共有。日／週／月	共有メンバーに見える。表示フィルタは端末のみ（永続化なし）	入力が渡る	必須	仕様		
165	現場の日常	営業	設定›外部連携	左下アイコン › 外部連携、または 設定 › 外部連携 › Googleカレンダー → /settings?tab=external_integrations	Googleカレンダーを連携し、/calendar を見る	表示期間のprimaryが出る。操作は設定側	入力が渡る	必須	仕様		
166	現場の日常	営業	メール	左メニュー ポータル › メール → /mail	Gmail連携→同期→新規作成（署名入り）→スレッド返信	同じスレッドに付く。返信先は推定でき編集できる	一連の流れ	必須	仕様		Gmailを使う会社は必須。使わないなら対象外
167	現場の日常	営業	メール	左メニュー ポータル › メール → /mail	IMAPスレッドで返信	返信できない。作成は /mail/compose	現状どおりでOK	必須	仕様		
168	現場の日常	営業	メール	左メニュー ポータル › メール → /mail	既読・スター	残る	画面	推奨	仕様		
169	現場の日常	全員	文書	左メニュー ポータル › 文書管理 → /documents	カテゴリを追加し、顧客／工事付きでアップロード	一覧／グリッド、検索、DL、工事タブ	入力が渡る	必須	仕様		
170	現場の日常	全員	チャット	左メニュー下部の社内チャット	送受信して再読み込み	残る。未読でもBombAlertは出ない。AIから担当へ転送は推奨	画面	必須	仕様		
171	経営確認	経営層	/bi	左メニュー ダッシュボード › BIダッシュボード → /bi	年度を変える	会計開始月どおり（初回だけ一瞬4月になることがある）	入力が渡る	必須	仕様		
172	経営確認	経営層	/bi	左メニュー ダッシュボード › BIダッシュボード → /bi	文言が粗利額／営業利益	そのうちのもうけ／最終のもうけではない	画面	必須	シート1 73,74		
173	経営確認	経営層	/bi	左メニュー ダッシュボード › BIダッシュボード → /bi	期首に売上目標・間接費・販管費・部門／拠点目標	KPI・達成率・部門カード。カードはDnD可	入力が渡る	必須	仕様		
174	経営確認	経営層	/bi	左メニュー ダッシュボード › BIダッシュボード → /bi	部門をクリック	右から案件一覧（顧客名は権限による）	画面	必須	シート1 75,84		
175	経営確認	経営層	顧客＋商談	リード › 顧客・商談管理で入力したあと、ダッシュボード › BIダッシュボード /bi で確認	見込度付き顧客と商談金額を入れ、BIを見る	期待値＝金額×確度%。特需ONは通常見込度を使わず独自%（無ければ会社の特需率）	入力が渡る	必須	仕様＋シート1 50,52		
176	経営確認	経営層	顧客	左メニュー リード › 顧客・商談管理 → /crm	商談金額なし・予算上限ありでBI	上限が期待値のフォールバック	入力が渡る	必須	仕様		
177	経営確認	経営層	/bi	左メニュー ダッシュボード › BIダッシュボード → /bi	1人当たり営業利益（正社員／パート）	タブで切り替わる	入力が渡る	推奨	シート1 77		
178	経営確認	経営層	/bi	左メニュー ダッシュボード › BIダッシュボード → /bi	速報値／確定値	決算がfinalなら確定値あり。無ければ当期は速報値	画面	必須	シート1 83		
179	経営確認	経営層	/bi	左メニュー ダッシュボード › BIダッシュボード → /bi	右上の決算書。権限の無い人は入れない	/financials。経営層向け	権限	必須	シート1 79		
180	経営確認	経営層	/financials	BI右上の「決算書」。サイドバーには無い → /financials	損益1枚を1から作り段階利益が自動。確定→BI。ドラフトに戻す	BSタブは無い。確定後は編集不可	画面	推奨	シート1 85-93		
181	経営確認	経営層	/bi	左メニュー ダッシュボード › BIダッシュボード → /bi	昨対比（月次累計）	年度合計と月次	画面	推奨	シート1 47,48		
182	経営確認	管理者	/bi	左メニュー ダッシュボード › BIダッシュボード → /bi	予備費率を設定し、社員で見る。reserve_feeで決算戻し	利益から控除して表示。社員にもバナーが見える	入力が渡る	推奨	仕様＋シート1 51		
183	経営確認	経営層	/bi	左メニュー ダッシュボード › BIダッシュボード → /bi	粗利が1本か。予算書の4区分か	工事粗利と会計上の売上総利益が併記。A/B/Cのまま。一本化・4区分は未了	現状どおりでOK	必須	シート1 76,81		
184	経営確認	経営層	/budget	サイドバーに無い。アドレスバーに /budget	年度予算を入れる	BI期首とは別。ナビには出ない	画面	推奨	仕様		
185	連携	管理者	PDF編集	左下アイコン › 設定 › 概要 › PDF編集 → /settings?tab=pdf_builder	PDFを取り込み自動項目を置いて保存。契約の書類作成で選ぶ	選べる。乙bindingは無い	画面	推奨	仕様＋シート1 30		
186	連携	管理者	アプリ連携	左下アイコン › 設定 › 外部連携 › アプリ連携 → /settings?tab=app_integrations	Slack等をテスト送信	届く（使う会社だけ）	画面	推奨	仕様		
187	連携	管理者	API/Webhook	左下アイコン › 設定 › 外部連携 › API / Webhook → /settings?tab=integrations	キー発行（生キーは一度だけ）。Webhook登録。ログを見る	発行時以外は生キーが見えない	画面	推奨	仕様		
188	連携	加盟店管理者	会社情報	左下アイコン › 設定 › 概要 › プロフィール画面の「会社情報」カード → /settings?tab=profile	AI設定を変えようとする	加盟店からは変えられない。運営の /admin のみ	権限	必須	仕様		
189	運営	super-admin	/admin/login	運営専用。bridge-linq.com/admin/login（加盟店の左メニューには無い）	運営でログイン	企業一覧・全国BI・AI設定	画面	必須	仕様		
190	運営	super-admin	/admin	アドレスバーに /admin（サイドバーには無い）	企業を追加（社名・slug）。加盟店URLでログインできるか	slugのサブドメインで入れる（本番はNetlify alias）	一連の流れ	必須	仕様		本番公開の会社追加
191	運営	super-admin	/admin	アドレスバーに /admin（サイドバーには無い）	全国BI・企業CSV・ユーザーCSV	出せる	画面	推奨	仕様		
192	運営	加盟店	/admin/login	運営専用。bridge-linq.com/admin/login（加盟店の左メニューには無い）	加盟店アカウントで入る	入れずサインアウト	権限	必須	仕様		
193	通しシナリオ	管理者	公開前セットアップ	左下アイコン › 設定 の会社情報・マスタ・メンバーから → /settings	会社情報・マスタ・メンバー・全銀・締日・就業・見込度%まで入れて、営業／現場／総務で入り分ける	3ロールでメニューが違う	一連の流れ	必須	仕様		
194	通しシナリオ	営業	受注まで	リード › 問い合わせ管理 /leads → 顧客・商談管理 /crm → 見積管理 /quotes → 契約管理 /contracts	問い合わせ→顧客化→日程→メモまたは録音→見積（業者・予備費）→粗利確定→受注	契約ができる。顧客・金額・見積が残る	一連の流れ	必須	仕様＋シート1		
195	通しシナリオ	現場担当	着工まで	生産 › 契約管理 /contracts → 工事管理 /constructions → 発注書・請書	契約承認→工事→工程→日報→台帳参照→発注→業者URLまたは紙で請書受領	納品へ進める	一連の流れ	必須	仕様＋シート1 40,108		
196	通しシナリオ	現場＋経理	メール業者の支払い	工事の発注 → 生産 › 納品・検収 /fulfillment → 業者 /partner/invoice/[token] → 帳票データ作成 /ledger	納品→検収合格→業者OTP請求→ディレクター→経理→全銀またはCSV	振込データが出せる。納品日が取引日	一連の流れ	必須	仕様＋シート1 117-121		
197	通しシナリオ	現場＋総務	紙発注の支払い	リード › 職人管理（紙）→ 工事 › 発注書・請書 → 納品・検収 /fulfillment → 帳票データ作成 /ledger	紙マスタ→請書受領済み→納品→検収（URLなし）→PDF添付→確認→承認→帳票	添付金額が帳票。色分け	一連の流れ	必須	シート1 130,135		
198	通しシナリオ	営業＋現場	設計変更	工事 › 見積もり → 追加変更 → 工事台帳	見積改訂→追加変更→台帳→追加発注→必要なら追加工事契約	差額と追加発注が残る	一連の流れ	必須	仕様		
199	通しシナリオ	営業	既存顧客の2件目	リード › 顧客・商談管理 /crm（問い合わせは使わない）→ 見積 → 契約 → 工事	問い合わせせず商談→見積→受注→工事	2件目ができる。同じ顧客	一連の流れ	必須	仕様		
200	通しシナリオ	営業	失注	リード › 顧客・商談管理 のパイプライン → /crm?view=pipeline	見積まで出して失注	契約なし。BI見込から外れる	一連の流れ	必須	仕様		
201	通しシナリオ	上長	粗利ゲート	リード › 見積管理 /quotes/[id] → ポータル › ワークフロー /workflow	安い見積を差戻し、直して再申請、承認してPDF	顧客向けPDFが出せる	一連の流れ	必須	仕様		
202	通しシナリオ	総務	施主請求まで	サイドバー外の /invoices → ダッシュボード /dashboard の未入金	完工した工事で月次請求→入金済み→ダッシュボード未入金	使う会社は必須。使わないなら対象外	一連の流れ	必須	仕様		
203	通しシナリオ	経理	月末締め	生産 › 勘定科目の確定 /account-items → 帳票データ作成 /ledger	科目確定→承認済みだけ全銀（合算）とCSV（請求ごと）	口座欠けは止まり、未承認は混ざらない	一連の流れ	必須	仕様＋シート1		
204	通しシナリオ	2テナント	混在チェック	加盟店Aの画面で作ったIDを、加盟店BのURLで開く	A社で作った顧客・文書・帳票をB社で検索／直打ち	見えない	一連の流れ	必須	仕様		
205	仕様どおり対象外	—	全体	複数画面。対象外・判定用（特定の1画面ではない）	独立パイプライン／請求・予算ナビ／マーケティング	出さない	現状どおりでOK	必須	仕様＋シート1 1,35		
206	仕様どおり対象外	—	全体	複数画面。対象外・判定用（特定の1画面ではない）	LINE/Slack取得・クイック返信、紙スキャンAI、トップ先方案UI、確度4区分、粗利一本化、予定配賦月割り、ユーザー別KPI編集	保留・先方待ち。バグではない	現状どおりでOK	必須	シート1 26,27,56,76,81,131,138		
207	仕様どおり対象外	—	全体	複数画面。対象外・判定用（特定の1画面ではない）	職種資格マスタがフォームに出ない、作業履歴が発注と非連動、日報へ工程コピーなし、IMAP返信なし、乙PDF差し込みなし、チャットでBombAlertなし、通知トグルが実通知しない、失注理由が選択肢に出ない	仕様どおり	現状どおりでOK	必須	仕様		
208	リリース判定	責任者	全体	複数画面。対象外・判定用（特定の1画面ではない）	必須がすべてOK、または使わない必須に『対象外』と理由を書いた	現場が回る	リリース判定	必須	仕様＋シート1 136,137		
209	リリース判定	責任者	全体	複数画面。対象外・判定用（特定の1画面ではない）	通し12本のうち、自社が使うものがすべてOK（セットアップ／受注／着工／メール支払／紙支払／設計変更／2件目／失注／粗利／施主請求または対象外／月末／混在）	公開してよい	リリース判定	必須	仕様		
210	リリース判定	責任者	全体	複数画面。対象外・判定用（特定の1画面ではない）	入れない・混ざらないがすべてOK	他社データ・運営・業者金額が漏れない	リリース判定	必須	仕様		
211	リリース判定	責任者	全体	複数画面。対象外・判定用（特定の1画面ではない）	税込見積→契約税抜を目視し、運用でよいか判断した	問題なら公開前に直す	リリース判定	必須	仕様		
212	リリース判定	責任者	全体	複数画面。対象外・判定用（特定の1画面ではない）	会社の全銀・締日・就業・見込度%・メンバー3ロールが入っている	初日セットアップ済み	リリース判定	必須	仕様		
213	リリース判定	責任者	全体	複数画面。対象外・判定用（特定の1画面ではない）	推奨のNGは使う機能だけ潰した	IMAP本番、CloudSign本番、Instagram、決算Linq取込、アプリ連携は使わなければ対象外でよい	リリース判定	必須	シート1 136		
214	リリース判定	責任者	全体	複数画面。対象外・判定用（特定の1画面ではない）	上記がすべてOK	リリースしてよい	リリース判定	必須	仕様＋シート1		
